OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
F_OTU_6535,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Archaeorhizomyces_sp
F_OTU_4454,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Roccella,Roccella_galapagoensis
F_OTU_1739,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Sigridea,Sigridea_californica
F_OTU_2198,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,Botryosphaeria_quercuum
F_OTU_1105,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Diplodia,Diplodia_intermedia
F_OTU_4146,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Endomelanconiopsis,Endomelanconiopsis_endophytica
F_OTU_191,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Macrophomina,Macrophomina_phaseolina
F_OTU_1202,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Neofusicoccum,Neofusicoccum_ribis
F_OTU_4670,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Neoscytalidium,Neoscytalidium_novaehollandiae
F_OTU_4817,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Neoscytalidium,Neoscytalidium_novaehollandiae
F_OTU_1541,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Phaeobotryon,Phaeobotryon_cupressi
F_OTU_7345,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Phyllosticta,Phyllosticta_ampelicida
F_OTU_5953,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Phyllosticta,Phyllosticta_citricarpa
F_OTU_1233,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Phyllosticta,Phyllosticta_concentrica
F_OTU_6357,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Phyllosticta,Phyllosticta_podocarpicola
F_OTU_891,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Septorioides,Septorioides_pini-thunbergii
